uda,hm3,cost
UDA21,0.513076088662962,2203774.65557262
UDA21,0.57405566317525,2341510.57681337
UDA21,0.654625539617368,2471379.40187899
UDA21,0.733322771880236,2578998.1339331
UDA21,0.808405431463273,2665328.33777709
UDA21,0.887121844831163,2751658.54162108
UDA21,0.969485509798551,2837988.74546507
UDA21,1.05549642636544,2924318.94930905
UDA21,1.14592183873273,3009547.60728327
UDA21,1.24238503671438,3091445.68363798
UDA21,1.34276402176584,3173343.7529694
UDA21,1.43457402575125,3224770.75793921
UDA21,1.52575886779518,3270507.22450743
UDA21,1.62458560416241,3315989.10406302
UDA21,1.74569368045301,3360510.82347399
UDA21,1.87114094894653,3405032.54288496
UDA21,2.00092740964295,3449554.26229594
UDA21,2.13505306254228,3494075.98170691
UDA21,2.27351790764452,3538597.70111788
UDA21,2.41632194494967,3583119.42052885
UDA21,2.56343959965103,3627641.13993982
UDA21,2.7149213109507,3672162.85935079
UDA21,2.86310245136388,3716445.44297339
UDA21,2.98914930699218,3759931.71263795
UDA21,3.11776785151611,3803417.98230251
UDA21,3.24898508056496,3846904.25196706
UDA21,3.39091673279723,3889714.40415166
UDA21,3.52324788675999,3923768.26327549
UDA21,3.65722861575471,3956142.08971699
UDA21,3.79779485747388,3986814.14641294
UDA21,3.94369202556676,4015786.18216101
UDA21,4.08695427815856,4041894.12981947
UDA21,4.23007302766834,4067677.5666523
UDA21,4.37549706183733,4093461.01050842
UDA21,4.52325976999649,4119244.44734126
UDA21,4.53,4120410.91647256
UDA22,0,0
UDA22,0.058559973964627,2337342.63536255
UDA22,0.179761144463314,3764652.49641371
UDA22,0.363595916168698,5191962.37155232
UDA22,0.610076947959718,6619272.23260347
UDA22,0.919199176284797,8046582.10774209
UDA22,1.29096260114394,9473891.96879324
UDA22,1.72536722253713,10901201.8439319
UDA22,2.22241304046439,12328511.704983
UDA22,2.78210005492571,13755821.5801216
UDA22,3.40442826592109,15183131.4411728
UDA22,4.08939767345053,16610441.3163114
UDA22,4.83700827751403,18037751.1773626
UDA22,5.64726007811158,19465061.0384137
UDA22,6.52011763038218,20892370.9135523
UDA22,7.45564929227207,22319680.7746035
UDA22,8.45382215069602,23746990.6497421
UDA22,9.51463620565403,25174300.5107932
UDA22,10.6380914571461,26601610.3859319
UDA22,11.8241879051722,28028920.246983
UDA22,13.0729255497324,29456230.1221216
UDA22,14.3843043908267,30883539.9831728
UDA22,15.758324428455,32310849.8583114
UDA22,17.1949856626173,33738159.7193626
UDA22,18.6942880933138,35165469.5804137
UDA22,20.2561684261496,36592779.4555523
UDA22,21.910240842511,37697501.9519724
UDA22,23.6163032746685,38588305.9607926
UDA22,25.4056712573376,39417524.5877282
UDA22,27.5995815659865,40087813.7817538
UDA22,29.7979123551602,40720516.1062854
UDA22,31.6811965606662,41343548.1912854
UDA22,33.6219014410325,41966580.2762854
UDA22,35.620026996259,42589612.3612854
UDA22,37.1230232878294,43200409.4152859
UDA22,38.7913875785112,43713243.5560649
UDA22,41.1651552391033,44177643.0309748
UDA22,43.6475386127544,44636664.1806362
UDA22,44.87,44895723.8739358
UDA25,0,0
UDA25,0.011453712509768,587988.400630559
UDA25,0.045814850039071,1175976.78387389
UDA25,0.103083412587909,1763965.18450445
UDA25,0.183259400156283,2351953.56774778
UDA25,0.286342812744191,2939941.96837834
UDA25,0.412350294157656,3527930.35162166
UDA25,0.561251330752306,4115918.75225222
UDA25,0.733059792366491,4703907.13549555
UDA25,0.927775679000211,5291895.53612611
UDA25,1.14539899065347,5879883.91936944
UDA25,1.38592972732626,6467872.32
UDA25,1.64936788901858,7055860.72063056
UDA25,1.93571347573045,7643849.10387389
UDA25,2.24496648746184,8231837.50450445
UDA25,2.57712692421277,8819825.88774778
